Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"609743","1","","","2009-03-04 08:46:10","","1","5502","<p>I was checking out streaming in the Programming WCF Services book, and I spotted a line about configurating.</p>

<blockquote>
  <p>You will need to configure the binding on the client or service side (or both) per required stream mode</p>
</blockquote>

<p>So what is this? 
How I know where I should configure them?
And is this a common thing with WCF? 
Seems bit weird to me.</p>
","1703","Tuoski","1703","Tuoski","2009-03-04 08:53:54","2010-11-03 23:50:22","Where goes WCF binding configuration?","<.net><wcf><wcf-binding>","1","0","1","",""
"327191","1","327210","","2008-11-29 05:03:14","","3","5502","<p>The list <code>sort()</code> method is a modifier function that returns <code>None</code>.</p>

<p>So if I want to iterate through all of the keys in a dictionary I cannot do:</p>

<pre><code>for k in somedictionary.keys().sort():
    dosomething()
</code></pre>

<p>Instead, I must:</p>

<pre><code>keys = somedictionary.keys()
keys.sort()
for k in keys:
    dosomething()
</code></pre>

<p>Is there a pretty way to iterate through these keys in sorted order without having to break it up in to multiple steps?</p>
","31060","Hugh","355230","","2017-11-18 02:03:54","2017-11-18 02:03:54","Is there a ""one-liner"" way to get a list of keys from a dictionary in sorted order?","<python><iterator><syntactic-sugar>","3","0","3","",""
"649029","1","649125","","2009-03-16 02:06:04","","18","5503","<p>I'm playing around with <a href=""http://twistedmatrix.com"" rel=""noreferrer"">Twisted</a> and documentation found on their homepage doesn't answer all my questions.</p>

<p>The topic I am most interested at the moment is Twisted Application Framework. Also some open source servers using twisted framework would provide nice material for studying how it's all tied up together in a bigger project.</p>

<p>So far I've checked out iCal and read documentation on twisted website (3x) and few good articles I found in google.</p>
","54091","Maiku Mori","54091","Maiku Mori","2009-03-16 02:14:44","2013-09-22 19:03:08","Where can I find good python Twisted framework documentation, blog entries, articles, etc?","<python><twisted>","6","0","9","2013-12-03 16:18:52",""
"603644","1","603655","","2009-03-02 19:30:13","","5","5503","<p>I need to generate PDF documents server-side that include a map, with markers and the like, but to my knowledge this isn't possible with Google Maps because of JavaScript reliance.</p>

<p>Is there some way to use the Google Maps API for this, or is there some other free (or cheap) alternative with this capability and comparable functionality?</p>
","31154","Trevor Bramble","","","","2011-01-18 15:43:29","How do I embed Google Map (or other GIS mapping) output in a PDF as I generate it?","<php><pdf><gis>","2","0","4","",""
"336148","1","336164","","2008-12-03 03:26:19","","5","5503","<p>I've been told that the java class TreeMap uses an implementation of a RB tree. If this is the case, how does one do an inorder, preorder and postorder tree-walk on a TreeMap?</p>

<p>Or is this not possible?</p>
","36545","kylex","1223693","","2013-03-03 04:28:16","2017-07-26 12:28:52","Java TreeMap sorting options?","<java><binary-tree><red-black-tree>","3","0","1","",""
"27832","1","27858","","2008-08-26 12:02:08","","14","5504","<p>I have a DirectShow graph to render MPEG2/4 movies from a network stream. When I assemble the graph by connecting the pins manually it doesn't render. But when I call Render on the GraphBuilder it renders fine. </p>

<p>Obviously there is some setup step that I'm not performing on some filter in the graph that GraphBuilder is performing. </p>

<p>Is there any way to see debug output from GraphBuilder when it assembles a graph?</p>

<p>Is there a way to dump a working graph to see how it was put together?</p>

<p>Any other ideas for unraveling the mystery that lives in the DirectShow box?</p>

<p>Thanks!
-Z</p>
","2587612","ZebZiggle","","","","2015-04-04 13:56:05","How can I reverse engineer a DirectShow graph?","<video><directx><directshow><mpeg>","7","0","3","",""
"463657","1","463763","","2009-01-21 00:15:32","","11","5504","<p>When I generate a certificate using MakeCert.exe, I want to change the key size from 1024 to 2048.</p>

<p>Is this possible? Or do I need to setup a certificate authority (CA)?</p>
","38686","Rohan West","63550","","2018-12-15 20:15:28","2018-12-15 20:18:14","MakeCert - is it possible to change the key size?","<certificate><size><key><makecert>","2","1","3","",""
"197958","1","198090","","2008-10-13 15:17:52","","3","5504","<p>In Flash, there seem to be two sets of mouse click events:</p>

<ul>
<li>onMouseUp, onMouseDown</li>
<li>onPress, onRelease</li>
</ul>

<p>Is there any actual difference between these events?  I can't tell from the documentation, and I haven't noticed anything in actual usage, but it seems odd to have two different sets of names for the same basic events.  Am I missing something?  Is there a difference between them?</p>

<p>Clarification:  This is in ActionScript 2 code, targeted at Flash 8.</p>
","1409","Herms","1409","Herms","2008-10-13 15:48:47","2011-10-10 08:14:43","What is the difference between the onMouseUp/Down and onPress/Release events in Flash?","<flash><events><actionscript><mouse><actionscript-2>","5","0","2","",""
"262934","1","262955","","2008-11-04 18:52:56","","20","5504","<p>I know that in JavaScript, creating a for loop like this: <code>for(int i = 0; i &lt; arr.length; i++)</code> is costly as it computes the array length each time.
Is this behavior costly in c# for lists and arrays as well. Or at compile-time is it optimized?  Also what about other languages such as Java, how is this handled?</p>
","28717","maxfridbe","1968","Konrad Rudolph","2008-11-04 18:57:22","2016-05-03 09:23:22","Is it costly to do array.length or list.count in a loop","<c#><compiler-construction><performance><language-features>","6","0","3","",""
"601992","1","606209","","2009-03-02 11:25:26","","1","5504","<p>I have the following code:</p>

<pre><code>$countQuery = ""SELECT ARTICLE_NO FROM ? WHERE upper(ARTICLE_NAME) LIKE '% ? %'"";
if ($numRecords = $con-&gt;prepare($countQuery)) {
    $numRecords-&gt;bind_param(""ss"", $table, $brand);
    $numRecords-&gt;execute();
    $data = $con-&gt;query($countQuery) or die(print_r($con-&gt;error));
    $rowcount = mysql_num_rows($data);
    $rows = getRowsByArticleSearch($query, $table, $max);
    $last = ceil($rowcount/$page_rows);
}
</code></pre>

<p>Which should work fine. However I receive the error that :</p>

<p>You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '? WHERE upper(ARTICLE_NAME) LIKE '%?%'' at line 1</p>

<p>If I put</p>

<pre><code>SELECT ARTICLE_NO FROM AUCTIONS WHERE upper(ARTICLE_NAME) LIKE '% o %';
</code></pre>

<p>The query works fine. $table is defined above, and query is received from GET, and both are correct valid values. Why is this failing?</p>

<p>edit:
changing to:</p>

<pre><code>$countQuery = ""SELECT ARTICLE_NO FROM AUCTIONS1 WHERE upper(ARTICLE_NAME) LIKE '% ? %'"";

if ($numRecords = $con-&gt;prepare($countQuery)) {

    $numRecords-&gt;bind_param(""s"", $query);
</code></pre>

<p>results in the error: </p>

<p>Warning: mysqli_stmt::bind_param() [mysqli-stmt.bind-param]: Number of variables doesn't match number of parameters in prepared statement in C:\Program Files\EasyPHP 3.0\www\prog\get_records.php on line 38</p>

<p>Commands out of sync; you can't run this command now</p>

<p>where as </p>

<pre><code>$countQuery = ""SELECT ARTICLE_NO FROM AUCTIONS1 WHERE upper(ARTICLE_NAME) LIKE ?"";

if ($numRecords = $con-&gt;prepare($countQuery)) {

    $numRecords-&gt;bind_param(""s"", ""%"".$query.""%"");
</code></pre>

<p>results in</p>

<p>Fatal error: Cannot pass parameter 2 by reference in C:\Program Files\EasyPHP 3.0\www\prog\get_records.php on line 38</p>

<p>and lastly</p>

<pre><code>$countQuery = ""SELECT ARTICLE_NO FROM AUCTIONS1 WHERE upper(ARTICLE_NAME) LIKE ? "";

if ($numRecords = $con-&gt;prepare($countQuery)) {

    $numRecords-&gt;bind_param(""s"", $query);
</code></pre>

<p>will give only:</p>

<p>Commands out of sync; you can't run this command now</p>

<p>Is it impossible to use a paramter for a LIKE statament?</p>
","1246613","user1253538","","user1253538","2009-03-03 12:26:27","2009-03-03 13:26:34","SQL LIKE query failing - fatal error in prepared statement","<php><sql><mysql><mysqli>","4","1","1","",""
